Data,MSE,MAE,RMSE,R2
Training,0.00028691760320377597,0.012671832795285854,0.016938642306978915,0.9669394374470105
Testing,0.0004913832218772273,0.01732649170620776,0.02216716540014143,0.9727134831478322
